Comp Name:atlopen19
Dancers
Abraham, Sheila:3938
Kelley, JoAnn:3940
Kleyman, Viktoriya:1912
Klyukin, Yergeny:3936
Knipple, Sandra:3880
Kondov, Toshko:3839
Kora, Iurii:3881
Kosarev, Vladimir:1536
Krasnyanskiy, Dmitry:4048
Krivosheev, Anastasia:3733
Kroezen, Mat:1762
Kuzmin, Pavel:4046
Kyle, Roland:3894
Lairet, Julio:3966
Lairet, Kim:3960
Larson, Sienna:1864
Lebedko, Kyrylo:3915
Lesesne, Christopher:3732
Lewis, Greg:3931
Liu, Brian:3889
Liu, Erela:3949
Liu, Yulia:3951
Logan, Emily:4029
Lovell, Deborah:3973
Lucius, Bailey:3999
Lvoff, Mariana:3943
Lynn, Cheryl:4035
Maccarrone, Simone:3898
Maleckis, Edwin:3948
Maleckis, Robertas:374
Maleshko, Max:1220
Manafi, Nooshin:2600
Marie, Vonnie:1785
Matsumoto, Kako:3571
McLeod, Leslie:2523
McRoberts, Debb:3975
Melnichenko, Steven:4045
Merz, Timmy:3140
Michael, Keith:3367
Michelle, Greg:3554
Miller, Andrea:3418
Minaev, Aleksei:3952
Minaeva, Elena:3953
Miretsky, Natalia:3922
Mishura, Grygorii:3981
Mittoo, Pamela:3205
Moraes, Aghali:3956
Moraes, Tiffany:3967
Morehead, Dawn:3918
Mosteika, Darius:3307
Muller, Christopher:2853
Muller, Jari:426
Mulyavka, Ivan:2488
Murrell, Lynn:1324
Naujokas, Dobilas:3935
Newman, Dominique:4008
Nicol, Jessica:4053
Nyemchek, David:3989
Obreja, Sorin:2973
Ogawa, Machiko:3471
Ogawa, Mitsuji:3470
Ortega, Ana:3529
Oxman, Shari:2732
Pack, Becca:3020
Page, Harry:3796
Page, JonJon:3968
Page, Jonathan:4030
Page, Mariana:4031
Page, William:3969
Parker, Cindi:3368
Parker, Penny:1669
Penatzer, Katerina:3606
Perkerson, Eric:4037
Phillips, Sherman:3510
Pierce, Maureen:3378
Pilipenchuk, Nikolai:1960
Plaisance, Rene:3468
Polunin, Natan:3817
Pope, Lynette:4040
Pope, Rand:4011
Prata, Aura:4033
Pratico, Bob:2773
Price, Kristina:3884
Prigoda, Sylvia:3984
Pruitt, Jared:1976
Pruitt, Natalie:1979
Pylyay, Ihor:1200
Quintana, Nick:3415
Rakitska, Deniter:3995
Reinbold, Martin:2592
Reynolds, Kelly:4020
Reynolds, Steven:4019
Rhode, Jamie:4009
Richmond, Jim:3159
Rifu, Miwa:2802
Robatsenko, Vlad:3992
Rodriquez, Nicolas:503
Rollings, Erica:3736
Romaguera, Kirstyn:3763
Ruffell, Lexi:3895
Rushing, Carl:3930
Russo, Cheryle:3256
Rutter, Chloe:4052
Rzucdilo, Natasha:3929
Sappington, Ellen:3961
Sarangaya, Susana:4047
Sarnat, Stefanie:3820
Sauke, Kimberly:4050
Savas, Lisa:3962
Seman, Liz:3877
Senken, David:3997
Shafer, Eleanor:3976
Shanahan, Lynn:3308
Simakov, Yuriy:1458
Simanekova, Juanita:2105
Simanovich, Victoria:2768
Simsic, Janet:2354
Skinner-Carswell, Margaret:3963
Skrypnyk, Oleg:3878
Smit, Izak:3896
Snyder, Jim:4000
Solomon, Sarah:3907
Spencer, Alexander:2374
Spencer, Alina:3585
Spencer, David:3203
Stafford, Bonnie:834
Stefano, Andrea:3348
Stepanenko, Dmytro:3919
Stewart, Matt:3913
Stone, Jenny:3927
Strashnikova, Deannah:4060
Struk, Paulina:3944
Suttle, Mary:3986
Sviridov, Dmitry:3750
Swatty, JoAnn:2305
Switzer, Sara:2270
Taibo, Jarin:3970
Taibo, Tess:3964
Talley, Alexandria:4014
Tams, Sabrina:2996
Tan, Coree:1377
Taylor, Sherry:3985
Thomas, Joel:3587
Tilford, Josh:3255
Traugott, Tom:4012
Trent, Jeff:1725
Tsyhankov, Sasha:3979
Tucker, Sam:3977
Van Beuren, Kim:3536
Vasilyev, Sergey:2825
Vaughn, Ginny:3955
Vdovichenko, Vitaliy:629
Ventura, Lisa:4022
Venuti, Natasha:3934
Violletta, Nicolay:2974
Visnakovs, Slava:3987
Walker, Peter:2196
Walters, Rick:3270
Wang, Ming:1074
Wantz, Grove:3941
Wappel, Vy:3875
Wayne, Christopher:2104
Weinaug, Jennifer:1411
Weiss, Robin:3912
Whitmer, Daniel:3565
Wicklund, Bruce:3692
Wilder, Maysen:3990
Winslow, Ryan:3886
Wixson, Elisabeth:2010
Wolf, Janine:3916
Wolfsohn, Cynthia:4027
Wood, Ksenia:4038
Wright, Erin:3431
Yang, Chenhua:3873
Yang, Lisa:3897
Zagrean, Alex:4026
Zappia, Enzo:2693
Zaramella, Andrea:3433
Zavialov, Dmitriy:3807
Zhao, Larry:3950
Zherdetski, Julia:3996
Zhylenko, Oleksii:3778
Heats
Dancer:Abraham, Sheila:3938:Heats:20
["Heat", "652", "Session 5 - Saturday Matinee@Saturday 10:20AM-F", "L-B2 Closed Pre Silver International Waltz", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "653", "Session 5 - Saturday Matinee@Saturday 10:22AM-F", "L-B2 Closed Pre Silver International Tango", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "654", "Session 5 - Saturday Matinee@Saturday 10:23AM-F", "L-B2 Closed Pre Silver International Viennese Waltz", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "655", "Session 5 - Saturday Matinee@Saturday 10:25AM-F", "L-B2 Closed Pre Silver International Foxtrot", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "656", "Session 5 - Saturday Matinee@Saturday 10:26AM-F", "L-B2 Closed Pre Silver International Quickstep", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "677", "Session 5 - Saturday Matinee@Saturday 10:59AM-F", "L-B2 Closed Int Silver International Waltz", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "678", "Session 5 - Saturday Matinee@Saturday 11:00AM-F", "L-B2 Closed Int Silver International Tango", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "679", "Session 5 - Saturday Matinee@Saturday 11:02AM-F", "L-B2 Closed Int Silver International Viennese Waltz", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "680", "Session 5 - Saturday Matinee@Saturday 11:03AM-F", "L-B2 Closed Int Silver International Foxtrot", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "681", "Session 5 - Saturday Matinee@Saturday 11:05AM-F", "L-B2 Closed Int Silver International Quickstep", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "692", "Session 5 - Saturday Matinee@Saturday 11:22AM-F", "L-B2 Closed Full Silver International Waltz", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "693", "Session 5 - Saturday Matinee@Saturday 11:23AM-F", "L-B2 Closed Full Silver International Tango", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "694", "Session 5 - Saturday Matinee@Saturday 11:25AM-F", "L-B2 Closed Full Silver International Viennese Waltz", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "695", "Session 5 - Saturday Matinee@Saturday 11:26AM-F", "L-B2 Closed Full Silver International Foxtrot", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "696", "Session 5 - Saturday Matinee@Saturday 11:28AM-F", "L-B2 Closed Full Silver International Quickstep", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "702", "Session 5 - Saturday Matinee@Saturday 11:37AM-F", "L-B2 Open Inter. Silver International Waltz", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "703", "Session 5 - Saturday Matinee@Saturday 11:38AM-F", "L-B2 Open Inter. Silver International Tango", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "705", "Session 5 - Saturday Matinee@Saturday 11:41AM-F", "L-B2 Open Inter. Silver International Foxtrot", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "712", "Session 5 - Saturday Matinee@Saturday 12:00PM-F", "L-C1 Closed Silver Pro/Am 3-Dance Challenge International Ballroom (W/T/QS)", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
["Heat", "720", "Session 5 - Saturday Matinee@Saturday 12:40PM-F", "L-S1 Closed Silver GLOBAL International Ballroom 3 dance Scholarship (W/T/Q)", "142", "Abraham, Sheila and Vasilyev, Sergey", "---"]
Dancer:Adamczyk, Darcy:2940:Heats:99
["Heat", "146", "Session 2 - Thursday Evening@Thursday 06:30PM-F", "L-A2 Closed Pre Silver American Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "147", "Session 2 - Thursday Evening@Thursday 06:31PM-F", "L-A2 Closed Pre Silver American Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "148", "Session 2 - Thursday Evening@Thursday 06:33PM-F", "L-A2 Closed Pre Silver American Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "149", "Session 2 - Thursday Evening@Thursday 06:34PM-F", "L-A2 Closed Pre Silver American V. Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "154", "Session 2 - Thursday Evening@Thursday 06:42PM-F", "L-B1 Closed Pre Silver American Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "155", "Session 2 - Thursday Evening@Thursday 06:43PM-F", "L-B1 Closed Pre Silver American Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "156", "Session 2 - Thursday Evening@Thursday 06:45PM-F", "L-B1 Closed Pre Silver American Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "157", "Session 2 - Thursday Evening@Thursday 06:46PM-F", "L-B1 Closed Pre Silver American V. Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "163", "Session 2 - Thursday Evening@Thursday 06:56PM-F", "L-A2 Closed Int Silver American Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "164", "Session 2 - Thursday Evening@Thursday 06:57PM-F", "L-A2 Closed Int Silver American Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "165", "Session 2 - Thursday Evening@Thursday 06:59PM-F", "L-A2 Closed Int Silver American Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "166", "Session 2 - Thursday Evening@Thursday 07:00PM-F", "L-A2 Closed Int Silver American V. Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "171", "Session 2 - Thursday Evening@Thursday 07:08PM-F", "L-B1 Closed Int Silver American Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "172", "Session 2 - Thursday Evening@Thursday 07:09PM-F", "L-B1 Closed Int Silver American Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "173", "Session 2 - Thursday Evening@Thursday 07:11PM-F", "L-B1 Closed Int Silver American Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "174", "Session 2 - Thursday Evening@Thursday 07:12PM-F", "L-B1 Closed Int Silver American V. Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "180", "Session 2 - Thursday Evening@Thursday 07:22PM-F", "L-A2 Closed Full Silver American Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "181", "Session 2 - Thursday Evening@Thursday 07:23PM-F", "L-A2 Closed Full Silver American Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "182", "Session 2 - Thursday Evening@Thursday 07:25PM-F", "L-A2 Closed Full Silver American Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "183", "Session 2 - Thursday Evening@Thursday 07:26PM-F", "L-A2 Closed Full Silver American V. Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "184", "Session 2 - Thursday Evening@Thursday 07:28PM-F", "L-B1 Closed Full Silver American Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "185", "Session 2 - Thursday Evening@Thursday 07:29PM-F", "L-B1 Closed Full Silver American Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "186", "Session 2 - Thursday Evening@Thursday 07:31PM-F", "L-B1 Closed Full Silver American Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "187", "Session 2 - Thursday Evening@Thursday 07:32PM-F", "L-B1 Closed Full Silver American V. Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "193", "Session 2 - Thursday Evening@Thursday 07:47PM-F", "L-A2 Open Full Silver American Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "194", "Session 2 - Thursday Evening@Thursday 07:48PM-F", "L-A2 Open Full Silver American Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "195", "Session 2 - Thursday Evening@Thursday 07:50PM-F", "L-A2 Open Full Silver American Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "196", "Session 2 - Thursday Evening@Thursday 07:51PM-F", "L-A2 Open Full Silver American V. Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "197", "Session 2 - Thursday Evening@Thursday 07:53PM-F", "L-B1 Open Inter. Silver American Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "198", "Session 2 - Thursday Evening@Thursday 07:54PM-F", "L-B1 Open Inter. Silver American Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "199", "Session 2 - Thursday Evening@Thursday 07:56PM-F", "L-B1 Open Inter. Silver American Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "200", "Session 2 - Thursday Evening@Thursday 07:57PM-F", "L-B1 Open Inter. Silver American V. Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "205", "Session 2 - Thursday Evening@Thursday 08:05PM-F", "L-A2 Open Inter. Silver American Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "206", "Session 2 - Thursday Evening@Thursday 08:07PM-F", "L-A2 Open Inter. Silver American Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "207", "Session 2 - Thursday Evening@Thursday 08:08PM-F", "L-A2 Open Inter. Silver American Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "208", "Session 2 - Thursday Evening@Thursday 08:10PM-F", "L-A2 Open Inter. Silver American V. Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "213", "Session 2 - Thursday Evening@Thursday 08:22PM-F", "L-B1 Open Full Silver American Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "214", "Session 2 - Thursday Evening@Thursday 08:23PM-F", "L-B1 Open Full Silver American Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "215", "Session 2 - Thursday Evening@Thursday 08:25PM-F", "L-B1 Open Full Silver American Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "216", "Session 2 - Thursday Evening@Thursday 08:26PM-F", "L-B1 Open Full Silver American V. Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "231", "Session 2 - Thursday Evening@Thursday 09:08PM-F", "L-C Closed Silver Pro/Am 3-Dance Challenge American Smooth (W/T/FT)", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "232", "Session 2 - Thursday Evening@Thursday 09:13PM-F", "L-C Open Silver Pro/Am 3-Dance Challenge American Smooth (W/T/FT)", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "233", "Session 2 - Thursday Evening@Thursday 09:23PM-F", "L-C Closed Silver Dancesport Series American Smooth (W/T/FT/VW)", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "237", "Session 2 - Thursday Evening@Thursday 09:58PM-S", "L-C Closed American Smooth Silver Best of the Best & Scholarship (W/T/F/VW)", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "242A", "Session 2 - Thursday Evening@Thursday 10:42PM-F", "L- Closed Silver Best of the Best American Smooth Showdance", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "652", "Session 5 - Saturday Matinee@Saturday 10:20AM-F", "L-A2 Closed Pre Silver International Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "653", "Session 5 - Saturday Matinee@Saturday 10:22AM-F", "L-A2 Closed Pre Silver International Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "654", "Session 5 - Saturday Matinee@Saturday 10:23AM-F", "L-A2 Closed Pre Silver International Viennese Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "655", "Session 5 - Saturday Matinee@Saturday 10:25AM-F", "L-A2 Closed Pre Silver International Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "656", "Session 5 - Saturday Matinee@Saturday 10:26AM-F", "L-A2 Closed Pre Silver International Quickstep", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "657", "Session 5 - Saturday Matinee@Saturday 10:28AM-F", "L-B1 Closed Pre Silver International Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "658", "Session 5 - Saturday Matinee@Saturday 10:29AM-F", "L-B1 Closed Pre Silver International Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "659", "Session 5 - Saturday Matinee@Saturday 10:31AM-F", "L-B1 Closed Pre Silver International Viennese Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "660", "Session 5 - Saturday Matinee@Saturday 10:32AM-F", "L-B1 Closed Pre Silver International Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "661", "Session 5 - Saturday Matinee@Saturday 10:34AM-F", "L-B1 Closed Pre Silver International Quickstep", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "662", "Session 5 - Saturday Matinee@Saturday 10:36AM-F", "L-B1 Open Full Silver International Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "663", "Session 5 - Saturday Matinee@Saturday 10:37AM-F", "L-B1 Open Full Silver International Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "664", "Session 5 - Saturday Matinee@Saturday 10:39AM-F", "L-B1 Open Full Silver International Viennese Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "665", "Session 5 - Saturday Matinee@Saturday 10:40AM-F", "L-B1 Open Full Silver International Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "666", "Session 5 - Saturday Matinee@Saturday 10:42AM-F", "L-B1 Open Full Silver International Quickstep", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "667", "Session 5 - Saturday Matinee@Saturday 10:43AM-F", "L-B1 Closed Int Silver International Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "668", "Session 5 - Saturday Matinee@Saturday 10:45AM-F", "L-B1 Closed Int Silver International Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "669", "Session 5 - Saturday Matinee@Saturday 10:46AM-F", "L-B1 Closed Int Silver International Viennese Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "670", "Session 5 - Saturday Matinee@Saturday 10:48AM-F", "L-B1 Closed Int Silver International Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "671", "Session 5 - Saturday Matinee@Saturday 10:49AM-F", "L-B1 Closed Int Silver International Quickstep", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "677", "Session 5 - Saturday Matinee@Saturday 10:59AM-F", "L-A2 Closed Int Silver International Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "678", "Session 5 - Saturday Matinee@Saturday 11:00AM-F", "L-A2 Closed Int Silver International Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "679", "Session 5 - Saturday Matinee@Saturday 11:02AM-F", "L-A2 Closed Int Silver International Viennese Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "680", "Session 5 - Saturday Matinee@Saturday 11:03AM-F", "L-A2 Closed Int Silver International Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "681", "Session 5 - Saturday Matinee@Saturday 11:05AM-F", "L-A2 Closed Int Silver International Quickstep", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "682", "Session 5 - Saturday Matinee@Saturday 11:06AM-F", "L-B1 Closed Full Silver International Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "683", "Session 5 - Saturday Matinee@Saturday 11:08AM-F", "L-B1 Closed Full Silver International Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "684", "Session 5 - Saturday Matinee@Saturday 11:09AM-F", "L-B1 Closed Full Silver International Viennese Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "685", "Session 5 - Saturday Matinee@Saturday 11:11AM-F", "L-B1 Closed Full Silver International Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "686", "Session 5 - Saturday Matinee@Saturday 11:12AM-F", "L-B1 Closed Full Silver International Quickstep", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "687", "Session 5 - Saturday Matinee@Saturday 11:14AM-F", "L-A2 Open Inter. Silver International Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "688", "Session 5 - Saturday Matinee@Saturday 11:15AM-F", "L-A2 Open Inter. Silver International Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "689", "Session 5 - Saturday Matinee@Saturday 11:17AM-F", "L-A2 Open Inter. Silver International Viennese Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "690", "Session 5 - Saturday Matinee@Saturday 11:18AM-F", "L-A2 Open Inter. Silver International Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "691", "Session 5 - Saturday Matinee@Saturday 11:20AM-F", "L-A2 Open Inter. Silver International Quickstep", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "692", "Session 5 - Saturday Matinee@Saturday 11:22AM-F", "L-A2 Closed Full Silver International Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "693", "Session 5 - Saturday Matinee@Saturday 11:23AM-F", "L-A2 Closed Full Silver International Tango", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "694", "Session 5 - Saturday Matinee@Saturday 11:25AM-F", "L-A2 Closed Full Silver International Viennese Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "695", "Session 5 - Saturday Matinee@Saturday 11:26AM-F", "L-A2 Closed Full Silver International Foxtrot", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "696", "Session 5 - Saturday Matinee@Saturday 11:28AM-F", "L-A2 Closed Full Silver International Quickstep", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
["Heat", "702", "Session 5 - Saturday Matinee@Saturday 11:37AM-F", "L-B1 Open Inter. Silver International Waltz", "112", "Adamczyk, Darcy and Dahl, Gary", "---"]
